Contact.Key,Resp,R2016,R2015,R2014,Age,Finish.Time,Swim.Time,Bike.Time,Run.Time,Min_Year,prior_races,club_aff,Finish.Rank,Swim.Rank,Bike.Rank,Run.Rank
1505746,0,0,0,0,36,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505754,0,0,0,0,32,18885,999999,11773,6840,2017,1,0,1,10,5,2
1505765,0,0,0,0,24,25132,3405,12207,9146,2017,1,0,6,8,6,5
1505768,0,0,0,0,51,29238,2695,15457,10269,2017,1,0,8,6,8,7
1505790,0,0,0,0,36,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505811,0,0,0,0,22,22128,2368,9928,9387,2017,2,0,4,4,2,6
1505815,0,0,0,0,36,29794,2863,13881,11337,2017,1,0,8,6,8,8
1505819,0,0,0,0,37,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505831,0,0,0,0,43,19715,999999,10825,8590,2017,1,0,2,10,3,5
1505856,0,0,0,0,37,20645,2197,9677,8470,2017,1,0,2,3,1,4
1505888,0,0,0,0,30,26064,2994,12960,9573,2017,1,0,7,7,7,6
1505889,0,0,0,0,23,17952,1768,9872,5857,2017,1,0,1,2,2,1
1505906,0,0,0,0,33,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505911,0,0,0,0,43,23971,3213,10968,9418,2017,1,0,5,7,4,6
1505924,0,0,0,0,37,20855,999999,11973,8664,2017,1,0,3,10,6,5
1505929,0,0,0,0,42,23917,2689,11011,9494,2017,1,0,5,6,4,6
1505936,0,0,0,0,49,25652,3759,11983,9361,2017,1,0,6,8,6,6
1505961,0,0,0,0,49,24654,2594,10821,9541,2017,1,0,6,5,3,6
1505999,0,0,0,0,49,25595,3067,13354,8174,2017,1,0,6,7,7,4
1506018,0,0,0,0,29,18868,2086,10254,5934,2017,1,0,1,3,2,1
1506041,0,0,0,0,54,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506042,0,0,0,0,38,27071,2626,14025,9563,2017,1,0,7,5,8,6
1506081,0,0,0,0,33,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506099,0,0,0,0,46,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506108,0,0,0,0,30,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506109,0,0,0,0,46,22064,2214,10725,8587,2017,1,0,4,3,3,5
1506130,0,0,0,0,39,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506138,0,0,0,0,54,25518,2712,11003,11147,2017,1,0,6,6,4,8
1506139,0,0,0,0,29,25257,1949,11963,10607,2017,1,0,6,2,6,7
1506157,0,0,0,0,35,17765,999999,9160,8445,2017,1,0,1,10,1,4
1506163,0,0,0,0,57,999999,999999,999999,999999,2017,1,1,10,10,10,10
1506186,0,0,0,0,28,25829,3536,12261,9019,2017,1,0,6,8,6,5
1506206,0,0,0,0,48,27554,3459,12057,11432,2017,1,0,7,8,6,8
1506208,0,0,0,0,46,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506231,0,0,0,0,35,23901,2070,12336,8741,2017,1,0,5,3,6,5
1506240,0,0,0,0,54,29171,3640,12335,12403,2017,1,0,8,8,6,8
1506254,0,0,0,0,50,999999,3922,15120,999999,2017,1,0,10,8,8,10
1506259,0,0,0,0,27,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506261,0,0,0,0,59,999999,3512,999999,999999,2017,1,0,10,8,10,10
1506269,0,0,0,0,30,23198,2504,10831,9211,2017,1,0,5,5,3,6
1506289,0,0,0,0,33,22980,2434,10643,9304,2017,1,0,4,4,3,6
1506291,0,0,0,0,39,21897,1753,10608,8870,2017,1,0,3,1,3,5
1506303,0,0,0,0,27,22021,3002,10524,8086,2017,1,0,4,7,3,4
1506329,0,0,0,0,28,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506332,0,0,0,0,52,25511,2662,11858,10262,2017,1,0,6,6,5,7
1506334,0,0,0,0,35,21639,999999,11596,9732,2017,1,0,3,10,5,6
1506346,1,0,0,0,28,20740,999999,11022,9502,2017,1,0,2,10,4,6
1506371,0,0,0,0,42,27330,2532,11989,12155,2017,1,0,7,5,6,8
1506372,0,0,0,0,23,27647,3558,13389,9717,2017,1,0,7,8,7,6
1506375,1,0,0,0,45,23702,2190,10819,10070,2017,1,0,5,3,3,7
1506376,0,0,0,0,29,999999,3932,15309,9668,2017,1,0,10,8,8,6
1506439,0,0,0,0,27,23925,2561,13268,7659,2017,1,0,5,5,7,3
1506441,0,0,0,0,46,22064,2725,11131,7656,2017,1,0,4,6,4,3
1506464,1,0,0,0,27,21196,999999,11330,9723,2017,1,0,3,10,4,6
1506467,0,0,0,0,33,23933,3058,10865,9231,2017,1,0,5,7,4,6
1506477,0,0,0,0,37,23504,2128,11413,8796,2017,2,1,5,3,5,5
1506481,0,0,0,0,42,27940,2903,14653,9393,2017,1,0,7,7,8,6
1506489,0,0,0,0,29,23772,2852,11201,9345,2017,1,0,5,6,4,6
1506504,0,0,0,0,52,28795,2803,13544,11781,2017,1,0,8,6,7,8
1506516,0,0,0,0,50,23793,2854,12085,8153,2017,1,0,5,6,6,4
1506536,0,0,0,0,37,29732,3462,14586,9678,2017,1,0,8,8,8,6
1506542,0,0,0,0,30,19507,2143,10339,6714,2017,1,0,2,3,2,1
1506557,0,0,0,0,32,26090,2717,11581,11433,2017,1,0,7,6,5,8
1506565,0,0,0,0,44,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506567,0,0,0,0,55,999999,3533,15467,999999,2017,1,0,10,8,8,10
1506579,0,0,0,0,42,21164,2147,10526,7855,2017,1,0,3,3,3,3
1506589,0,0,0,0,24,22664,2000,11398,8664,2017,2,0,4,2,5,5
1506591,0,0,0,0,59,27422,1930,13523,11078,2017,1,1,7,2,7,8
1506600,1,0,0,0,39,23781,999999,13306,10293,2017,2,0,5,10,7,7
1506613,0,0,0,0,29,23712,3455,10759,8966,2017,1,1,5,8,3,5
1506634,0,0,0,0,25,22168,1724,11712,7939,2017,1,1,4,1,5,3
1506654,0,0,0,0,40,22552,999999,13153,9069,2017,1,0,4,10,7,5
1506659,1,0,0,0,42,999999,999999,999999,999999,2017,1,1,10,10,10,10
1506660,0,0,0,0,38,23260,2682,10431,9380,2017,1,0,5,6,3,6
1506661,0,0,0,0,34,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506672,0,0,0,0,28,18816,1946,11117,5149,2017,1,0,1,2,4,1
1506676,0,0,0,0,30,27287,3295,12591,10549,2017,1,0,7,8,7,7
1506687,0,0,0,0,38,24544,2436,12349,7794,2017,1,0,6,4,6,3
1506691,0,0,0,0,41,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506705,0,0,0,0,32,25073,2983,11486,10168,2017,1,0,6,7,5,7
1506710,0,0,0,0,22,26533,1630,14375,10070,2017,1,0,7,1,8,7
1506712,0,0,0,0,38,27476,2580,12845,11526,2017,1,0,7,5,7,8
